code,level,description,full_description,duty_cd,parent,chapter,heading,tariff_version
6101,heading,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, windjackets and similar articles, knitted or crocheted, other than those of heading 61.03","Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, windjackets and similar articles, knitted or crocheted, other than those of heading 61.03",,61,61,6101,FY2026-27
6101.2000,tariff_line,- Of cotton,Of cotton,20,6101,61,6101,FY2026-27
6101.3000,tariff_line,- Of man-made fibres,Of man-made fibres,20,6101,61,6101,FY2026-27
6101.9000,tariff_line,- Of other textile materials,Of other textile materials,20,6101,61,6101,FY2026-27
6102,heading,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, windjackets and similar articles, knitted or crocheted, other than those of heading 61.04","Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, windjackets and similar articles, knitted or crocheted, other than those of heading 61.04",,61,61,6102,FY2026-27
6102.1000,tariff_line,- Of wool or fine animal hair,Of wool or fine animal hair,20,6102,61,6102,FY2026-27
6102.2000,tariff_line,- Of cotton,Of cotton,20,6102,61,6102,FY2026-27
6102.3000,tariff_line,- Of man-made fibres,Of man-made fibres,20,6102,61,6102,FY2026-27
6102.9000,tariff_line,- Of other textile materials,Of other textile materials,20,6102,61,6102,FY2026-27
6103,heading,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted","Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted",,61,61,6103,FY2026-27
6103.1000,tariff_line,- Suits,Suits,20,6103,61,6103,FY2026-27
6103.2200,tariff_line,- - Of cotton,Ensembles > Of cotton,20,6103,61,6103,FY2026-27
6103.2300,tariff_line,- - Of synthetic fibres,Ensembles > Of synthetic fibres,20,6103,61,6103,FY2026-27
6103.2900,tariff_line,- - Of other textile materials,Ensembles > Of other textile materials,20,6103,61,6103,FY2026-27
6103.3100,tariff_line,- - Of wool or fine animal hair,Jackets and blazers > Of wool or fine animal hair,20,6103,61,6103,FY2026-27
